Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193105,-8.5388,1.2585,-15.8782,-11.6179,-15.9272,-7.6612,-8.2087,-5.7563,-11.1129,-12.0153,-16.6876,-12.9254,-9.4183,-13.0784,-16.4866,-10.2133,-12.4633,-16.2241,-25.6241,-29.4732,-11.6142,-11.3412,-17.9126,-18.4091,-22.6087
193106,20.8367,6.8787,14.0651,15.2672,17.6121,9.5076,8.2836,1.3835,12.3569,21.111,13.8253,11.3144,7.7567,18.5601,28.2694,14.2066,15.0727,18.6859,30.5194,33.8871,12.8132,13.9683,15.2704,22.1221,40.4494
193107,-6.3445,-11.4113,-9.6939,-7.7922,-4.9578,-5.2584,-5.3039,-7.4328,-6.129,-7.3422,-6.3485,-7.6105,-9.9132,-8.4759,-12.8129,-5.3204,-4.9202,-8.2726,-9.0779,-13.5493,-5.3258,-6.9,-11.2421,-12.7018,0
193108,-13.22,-0.2852,-5.0247,-5.0575,-5.3727,4.7199,-0.5336,3.2641,-1.6099,-4.4842,-0.7386,-0.7035,-1.3926,-3.2907,-4.6482,-0.9229,-1.9039,1.8384,3.7954,6.6549,0.0614,1.7901,-1.0877,-3.2538,8.4337
193109,-49.473,-30.5381,-28.4077,-35.6945,-31.5881,-26.5943,-25.1307,-35.2638,-30.4489,-37.3877,-26.9818,-30.4951,-31.3505,-33.2898,-33.9136,-29.6167,-25.0885,-29.7345,-34.0692,-41.4557,-29.28,-24.8694,-31.7819,-33.3005,-45.5556
193110,12.6793,-3.0079,0.5496,9.1667,6.425,7.0723,1.3821,8.8441,7.5305,12.7797,0.9303,13.4218,11.0331,8.8274,6.6358,9.0501,6.2414,11.6314,12.2502,13.131,9.3606,6.8623,0.8149,3.8812,20.4082
193111,-23.9803,-22.2863,-10.2839,-7.5258,-11.8178,-12.8176,-7.5193,-7.837,-5.4125,-11.0263,-6.2023,-9.4867,-5.153,-11.0222,-10.6534,-7.6442,-3.7603,-11.2361,-13.6099,-11.4839,-5.8113,-10.9506,-20.3201,-21.5714,-6.7797
193112,-25.3044,-2.9122,-19.4012,-27.4779,-25.1205,-9.0769,-12.4153,-14.3556,-18.538,-24.1234,-14.5467,-18.1031,-17.5681,-14.995,-15.6856,-10.9297,-13.9211,-11.1588,-21.5493,-25.7755,-10.5654,-16.3246,-21.8992,-22.9408,-30.9091
193201,5.5527,-5.9907,8.3063,14.8028,6.1029,-0.3044,-1.3482,5.4795,14.3969,18.3762,1.1941,3.7308,2.7428,-1.6891,5.514,-3.5957,-0.3956,-0.5579,3.8507,1.9409,-3.6929,-1.7499,3.3213,10.9191,7.8947
193202,-12.7896,-0.0154,5.881,-2.3234,3.5727,-5.4119,3.2908,-2.3221,-4.5816,-1.1353,0.4535,3.2113,2.3879,0.2285,-1.4858,3.4293,5.2088,-1.3997,1.2611,3.7601,7.2592,5.66,3.2597,-3.317,14.6341
193203,-23.0216,-3.9056,-3.2485,-10.2904,-12.41,-4.8922,-14.1355,-11.4193,-4.3036,-13.2422,-8.6836,-14.4244,-11.553,-13.3842,-10.9956,-10.6974,-10.9531,-11.3353,-12.3945,-10.1478,-10.971,-10.2975,-14.3073,-23.2023,2.1277
193204,-40.762,-16.8293,-25.8159,-20.0186,-17.8749,-19.9193,-8.1414,-14.405,-17.453,-14.3736,-17.9453,-13.5659,-15.0516,-16.3965,-22.3498,-15.1155,-15.6276,-17.4525,-14.2341,-15.2035,-18.1767,-20.5995,-19.3341,-22.1641,-22.9167
193205,-12.8641,-35.2372,-5.8922,-9.178,-8.7917,-11.9878,-21.7501,-22.0395,-17.3451,-20.4772,-23.7773,-23.5621,-26.9984,-24.0855,-26.4443,-20.9668,-20.1651,-18.1172,-18.579,-27.9405,-20.4176,-16.8192,-31.4962,-36.7136,-10.8108
193206,35.7939,-16.9948,5.3018,-5.5445,-3.6625,-8.6164,-4.7937,-5.1464,11.2392,6.5301,6.3959,4.5848,7.2774,5.2316,0.9372,1.7482,3.4205,-4.7307,9.3777,0.4792,-3.1255,-0.3215,5.0904,9.1629,21.2121
193207,147.8401,14.3231,41.727,38.2866,54.7795,37.5774,27.6658,41.5667,52.5747,69.5152,27.4769,30.3893,39.6205,54.3405,68.7211,30.7562,31.3337,40.0477,68.8873,80.0358,26.5359,37.2059,50.2559,56.967,98.0392
193208,49.3739,94.6241,82.8825,83.8394,100.3773,34.3849,67.0166,56.4447,59.402,89.9724,54.6595,39.7036,46.8716,69.4053,74.3792,29.2301,43.7066,65.8778,63.5623,86.604,30.9221,35.1841,47.4496,52.0435,65.3465
193209,-27.1191,-11.0603,-16.3193,-4.5548,-17.1356,-0.7174,-6.3692,-5.4914,-8.2333,-12.5966,-5.2401,-7.8092,-2.7272,-11.8534,-9.4062,0.6576,-4.429,-8.4416,-6.9258,-8.9044,0.5101,-6.4866,-8.4468,-2.8222,15.5689
193210,-9.1645,-13.1779,-26.4345,-20.361,-19.7915,-12.4439,-21.9808,-17.3273,-24.4888,-22.5008,-14.7872,-15.8912,-21.3712,-23.626,-25.6989,-11.0973,-17.8682,-19.2088,-20.3455,-25.6917,-11.3331,-9.799,-15.3346,-19.3893,-30.0518
193211,-26.56,-13.2958,-8.2868,-10.7934,-7.312,-3.9727,-7.5773,-8.5018,-7.9145,-17.438,-3.7696,-1.1263,-8.6184,-11.1244,-15.1052,2.504,-5.0822,-9.2356,-15.3017,-19.983,-3.2596,-1.8593,-10.3618,-8.4886,-31.1111
193212,7.0207,-11.8895,-2.5648,-12.6054,-16.2939,-18.7311,-16.2821,-2.7539,-11.7536,-7.5907,-2.2114,3.172,1.1864,-4.7687,-6.6153,4.002,0.1585,1.2677,0.5351,-9.9337,7.2393,7.3672,1.5565,-7.5497,15.0538
193301,57.2754,-0.9456,1.5203,-7.1322,3.6981,7.544,6.015,3.5923,5.5089,7.6263,1.512,6.8342,2.2288,3.473,12.8154,2.3969,3.4547,4.5111,6.0007,16.5315,-0.3123,-0.4417,4.7568,3.9118,14.9533
193302,-44.6775,-18.832,-17.9897,-14.5265,-15.9034,-26.774,-26.6756,-20.124,-20.1491,-21.0749,-16.5311,-17.6144,-18.4226,-19.6631,-19.7892,-13.3752,-16.2958,-13.7937,-12.4654,-22.9726,-14.6858,-17.2065,-15.2692,-17.534,-24.3902
193303,-16.5161,7.1789,-4.8469,5.6542,18.5025,14.2512,10.1934,3.2118,13.074,21.9814,0.0256,10.2408,6.169,14.7931,8.7236,10.4075,11.8193,15.8739,10.1285,7.9911,-0.1507,5.338,6.445,7.636,7.5269
193304,7.0263,50.5316,78.5247,48.4433,48.2387,28.2345,46.2985,62.4374,63.8479,53.2494,47.1755,39.9642,60.8932,53.8629,63.9465,35.2355,53.5838,55.4623,44.3567,74.4518,32.5595,39.3502,46.9811,60.7343,52
193305,73.2095,126.0468,69.1368,103.1955,100.5049,76.4962,78.1179,75.5124,80.3191,58.1352,56.9713,38.9164,43.2502,58.5109,51.1793,22.7999,32.3924,33.2499,40.1926,62.8422,17.2687,14.3952,21.2515,32.8179,25
193306,73.2389,60.3142,42.4774,27.2743,24.3271,23.5274,15.3904,22.2313,19.8472,18.9798,29.0571,13.6017,14.9144,17.388,31.6689,12.4047,12.6069,14.4468,17.6313,14.8337,11.1486,13.203,14.8023,20.7261,4.7368
193307,-3.2258,-11.9385,-8.1092,-1.4308,-6.353,-9.6925,-15.6326,-9.6433,-11.6557,1.2016,-9.4051,-14.5359,-13.7128,-16.7059,-18.0049,-10.1904,-9.5287,-14.7245,-11.7434,-6.5447,-8.4245,-11.4914,-12.1215,-10.1514,-7.5876
193308,0,7.3704,4.7988,5.7985,1.5506,6.1015,8.6982,10.0746,7.369,6.4516,12.5658,19.4094,14.5541,12.6686,16.3556,14.8358,16.7706,14.5085,17.47,21.3286,8.8207,16.4269,15.7637,13.7014,23.655
193309,-16.6667,-13.0863,-19.889,-16.8758,-17.0381,-3.091,-11.2919,-17.1874,-12.8084,-26.1686,-13.5331,-8.6121,-13.7347,-15.4682,-25.6755,-6.4791,-11.1224,-17.8004,-9.9278,-22.0871,-9.8922,-7.0856,-11.5409,-17.3735,-27.2596
193310,-12,-15.5561,-6.0883,-10.1865,-16.0932,-12.3468,-9.7684,-13.5291,-13.1222,-8.9748,-7.1621,-8.8986,-12.7307,-15.0521,-14.6649,-4.6365,-7.6931,-10.2184,-14.583,-19.1997,-6.7924,-4.6871,-10.7898,-17.429,-19.1524
193311,0,3.1602,-1.4531,12.1594,8.7087,2.7474,7.1067,3.9726,7.6369,-0.1905,6.9345,5.0099,7.9388,4.3385,10.0793,5.3175,11.4481,7.3812,9.1372,10.9693,9.9667,10.0638,14.2458,15.3305,9.1554
193312,-36.3636,-2.9947,-7.6441,-1.6568,2.6371,10.6117,7.6397,7.5132,-2.1142,-1.0289,-0.6688,3.2294,7.0191,3.6329,5.3274,0.3153,1.6666,8.3955,-1.2411,7.6462,1.8935,1.8534,0.6438,5.4488,7.9203
193401,100,44.8157,46.1576,40.1914,40.9417,24.7187,19.8573,31.7635,31.8624,50.0577,45.6786,20.0965,25.6602,25.3005,32.278,11.5811,14.0413,25.5514,20.3429,28.8641,9.7599,9.4687,16.0582,17.192,37.913
193402,-14.2857,12.0775,3.8473,12.1266,6.2322,2.4842,1.1023,3.0486,-1.2087,9.3432,0.2859,1.6156,4.3698,3.5793,0.3964,-3.234,-1.2804,-3.0728,0.8042,0.4373,-2.4166,-2.5396,-4.5106,-5.5368,-5.3839
193403,8.3333,-0.8893,1.7648,4.0927,-2.4705,1.9295,2.5013,0.9784,1.2157,3.0666,6.1411,3.494,1.0165,-1.2944,-4.4693,1.8194,1.2705,0.7402,-0.8135,0.1178,-0.0423,0.0449,-1.3248,-0.8676,0.5379
193404,0,2.3916,5.6678,5.4309,-0.273,7.8911,2.1142,-3.5288,1.0808,-7.0056,-3.5226,-2.0004,-2.5267,-0.8467,-3.1955,-0.4161,-0.0362,0.0811,-5.6728,-6.6942,-2.0314,-1.1613,-2.016,-5.7447,-5.7601
193405,-11.5385,-9.1744,-13.0676,-12.7474,-16.7213,-8.9246,-8.7235,-10.8651,-12.3294,-6.0553,-7.0503,-7.4717,-9.9029,-8.5264,-14.5021,-5.8478,-7.1857,-11.0907,-8.4325,-15.1982,-6.4137,-6.9411,-6.3953,-13.3485,-18.7982
193406,-21.7391,-3.143,2.6837,-1.1054,0.4184,4.0453,2.0913,-2.3827,-0.6749,-11.2815,3.2382,3.795,-0.1932,2.0789,-0.0447,3.945,3.3172,2.2417,6.0039,-0.8835,2.1943,2.9055,3.0438,3.2078,4.8717
193407,-20.3723,-30.1093,-27.6738,-23.4445,-23.2441,-20.152,-16.9599,-23.3663,-26.5694,-23.8974,-16.5513,-16.6412,-16.0232,-20.0443,-24.4269,-12.3324,-10.0696,-14.0315,-18.4568,-35.3549,-7.0614,-8.227,-14.6218,-18.2933,-30.843
193408,15.1231,18.6339,9.715,11.0631,12.9363,14.7217,7.2973,8.8462,13.5462,10.643,7.8734,9.2661,7.9258,12.5321,8.3544,6.059,6.6373,5.0587,10.1757,11.5814,5.5843,5.2104,4.7168,2.3771,8.5384
